HomeTeam,AwayTeam,FTHG,FTAG,HST,AST
Burnley,Swansea,0,1,3,9
Crystal Palace,West Brom,0,1,4,3
Everton,Tottenham,1,1,6,4
Hull,Leicester,2,1,5,5
Man City,Sunderland,2,1,4,3
Middlesbrough,Stoke,1,1,2,1
Southampton,Watford,1,1,6,1
Arsenal,Liverpool,3,4,5,7
Bournemouth,Man United,1,3,3,7
Chelsea,West Ham,2,1,6,3
Man United,Southampton,2,0,5,1
Burnley,Liverpool,2,0,2,5
Leicester,Arsenal,0,0,1,4
Stoke,Man City,1,4,3,6
Swansea,Hull,0,2,3,4
Tottenham,Crystal Palace,1,0,5,2
Watford,Chelsea,1,2,2,4
West Brom,Everton,1,2,4,7
Sunderland,Middlesbrough,1,2,5,3
West Ham,Bournemouth,1,0,2,5
Chelsea,Burnley,3,0,10,0
Crystal Palace,Bournemouth,1,1,5,3
Everton,Stoke,1,0,9,1
Hull,Man United,0,1,2,9
Leicester,Swansea,2,1,6,3
Southampton,Sunderland,1,1,7,2
Tottenham,Liverpool,1,1,4,3
Watford,Arsenal,1,3,6,7
Man City,West Ham,3,1,5,2
West Brom,Middlesbrough,0,0,2,2
Arsenal,Southampton,2,1,2,5
Bournemouth,West Brom,1,0,5,2
Burnley,Hull,1,1,2,3
Liverpool,Leicester,4,1,11,3
Man United,Man City,1,2,3,6
Middlesbrough,Crystal Palace,1,2,4,4
Stoke,Tottenham,0,4,2,8
West Ham,Watford,2,4,4,8
Swansea,Chelsea,2,2,2,7
Sunderland,Everton,0,3,2,9
Chelsea,Liverpool,1,2,4,5
Everton,Middlesbrough,3,1,6,0
Hull,Arsenal,1,4,2,9
Leicester,Burnley,3,0,6,2
Man City,Bournemouth,4,0,12,2
West Brom,West Ham,4,2,6,5
Crystal Palace,Stoke,4,1,8,4
Southampton,Swansea,1,0,6,3
Tottenham,Sunderland,1,0,9,2
Watford,Man United,3,1,5,2
Arsenal,Chelsea,3,0,5,2
Bournemouth,Everton,1,0,1,2
Liverpool,Hull,5,1,12,1
Man United,Leicester,4,1,7,3
Middlesbrough,Tottenham,1,2,2,5
Stoke,West Brom,1,1,2,3
Sunderland,Crystal Palace,2,3,4,4
Swansea,Man City,1,3,5,4
West Ham,Southampton,0,3,1,9
Burnley,Watford,2,0,4,3
Everton,Crystal Palace,1,1,3,2
Hull,Chelsea,0,2,3,9
Sunderland,West Brom,1,1,2,7
Swansea,Liverpool,1,2,3,6
Watford,Bournemouth,2,2,7,2
West Ham,Middlesbrough,1,1,2,3
Burnley,Arsenal,0,1,1,3
Leicester,Southampton,0,0,1,5
Man United,Stoke,1,1,9,6
Tottenham,Man City,2,0,7,6
Arsenal,Swansea,3,2,6,6
Bournemouth,Hull,6,1,10,4
Chelsea,Leicester,3,0,6,0
Crystal Palace,West Ham,0,1,3,4
Man City,Everton,1,1,8,2
Stoke,Sunderland,2,0,6,1
West Brom,Tottenham,1,1,4,8
Middlesbrough,Watford,0,1,3,2
Southampton,Burnley,3,1,14,1
Liverpool,Man United,0,0,3,1
Arsenal,Middlesbrough,0,0,5,4
Bournemouth,Tottenham,0,0,1,4
Burnley,Everton,2,1,3,8
Hull,Stoke,0,2,2,6
Leicester,Crystal Palace,3,1,4,7
Liverpool,West Brom,2,1,7,1
Swansea,Watford,0,0,5,2
West Ham,Sunderland,1,0,3,2
Chelsea,Man United,4,0,6,5
Man City,Southampton,1,1,3,2
Crystal Palace,Liverpool,2,4,6,10
Man United,Burnley,0,0,11,1
Middlesbrough,Bournemouth,2,0,3,3
Sunderland,Arsenal,1,4,1,7
Tottenham,Leicester,1,1,5,1
Watford,Hull,1,0,0,2
West Brom,Man City,0,4,1,8
Everton,West Ham,2,0,6,3
Southampton,Chelsea,0,2,1,7
Stoke,Swansea,3,1,4,6
Bournemouth,Sunderland,1,2,7,4
Burnley,Crystal Palace,3,2,7,5
Chelsea,Everton,5,0,9,0
Man City,Middlesbrough,1,1,7,3
West Ham,Stoke,1,1,2,4
Arsenal,Tottenham,1,1,2,3
Hull,Southampton,2,1,2,7
Leicester,West Brom,1,2,2,5
Liverpool,Watford,6,1,17,8
Swansea,Man United,1,3,1,3
Crystal Palace,Man City,1,2,2,4
Everton,Swansea,1,1,6,3
Man United,Arsenal,1,1,5,1
Southampton,Liverpool,0,0,0,2
Stoke,Bournemouth,0,1,6,2
Sunderland,Hull,3,0,4,7
Tottenham,West Ham,3,2,6,3
Watford,Leicester,2,1,3,2
Middlesbrough,Chelsea,0,1,1,3
West Brom,Burnley,4,0,6,2
Burnley,Man City,1,2,5,5
Chelsea,Tottenham,2,1,5,6
Hull,West Brom,1,1,4,2
Leicester,Middlesbrough,2,2,3,2
Liverpool,Sunderland,2,0,7,1
Swansea,Crystal Palace,5,4,9,4
Arsenal,Bournemouth,3,1,3,3
Man United,West Ham,1,1,8,2
Southampton,Everton,1,0,7,1
Watford,Stoke,0,1,2,1
Crystal Palace,Southampton,3,0,4,3
Man City,Chelsea,1,3,5,4
Stoke,Burnley,2,0,4,4
Sunderland,Leicester,2,1,6,5
Tottenham,Swansea,5,0,15,0
West Brom,Watford,3,1,3,5
West Ham,Arsenal,1,5,3,10
Bournemouth,Liverpool,4,3,8,3
Everton,Man United,1,1,6,2
Middlesbrough,Hull,1,0,4,2
Arsenal,Stoke,3,1,6,5
Burnley,Bournemouth,3,2,7,4
Hull,Crystal Palace,3,3,6,6
Leicester,Man City,4,2,6,4
Swansea,Sunderland,3,0,5,2
Watford,Everton,3,2,6,4
Chelsea,West Brom,1,0,2,1
Liverpool,West Ham,2,2,3,3
Man United,Tottenham,1,0,5,4
Southampton,Middlesbrough,1,0,3,2
Bournemouth,Leicester,1,0,3,4
Everton,Arsenal,2,1,4,3
Crystal Palace,Man United,1,2,3,6
Man City,Watford,2,0,7,2
Middlesbrough,Liverpool,0,3,3,4
Stoke,Southampton,0,0,3,4
Sunderland,Chelsea,0,1,3,6
Tottenham,Hull,3,0,9,5
West Brom,Swansea,3,1,4,4
West Ham,Burnley,1,0,7,2
Crystal Palace,Chelsea,0,1,2,6
Middlesbrough,Swansea,3,0,4,2
Stoke,Leicester,2,2,7,8
Sunderland,Watford,1,0,4,4
West Brom,Man United,0,2,1,5
West Ham,Hull,1,0,6,5
Bournemouth,Southampton,1,3,5,8
Man City,Arsenal,2,1,5,1
Tottenham,Burnley,2,1,9,2
Everton,Liverpool,0,1,1,4
Arsenal,West Brom,1,0,11,1
